CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
HRAS	JUN
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ATF2
TP53	TP73
MAPK1	ESR1
MAPK1	ETS1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	SMAD4
MAPK1	STAT3
PIK3R5	MTOR
MTOR	PPARG
MAPK1	SMAD3
HRAS	MAPK8
MAPK8	JUND
MAPK8	JUNB
GNAQ	DVL1
DVL1	NOTCH1
NOTCH1	RBPJL
NOTCH1	RBPJ
HRAS	MAP3K1
MAP3K1	CHUK
CHUK	IRF7
MAPK1	STAT1
STAT1	MYD88
MAPK1	CREB1
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
HRAS	RAF1
RAF1	RELA
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
RAF1	NFKB1
NFKB1	NFKB2
TNF	VCAM1
CREB3	BDNF
CREB3L2	PDYN
CREB5	ARC
NFKB1	BIRC3
GLI1	WNT4
GLI1	WNT1
GLI1	WNT9B
GLI2	GLI1
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
CLOCK	BHLHE40
CLOCK	PER3
FOSB	CDK5
FOSB	GRIA2
CTNNB1	CCND2
CREB3	PCNA
CREB1	IL8
EGR2	FASLG
IRF7	IFNB1
MAPK10	SMAD4
CREB3L1	PCNA
CREB5	PCNA
CREBBP	ALDOA
CREBBP	ANGPT2
CREBBP	PFKFB4
CREBBP	VEGFB
CREBBP	HKDC1
EP300	ALDOA
EP300	ANGPT2
EP300	PFKFB4
EP300	VEGFB
EP300	HKDC1
HIF1A	ALDOA
HIF1A	ANGPT2
SMAD2	CTGF
STAT1	CCND3
STAT1	SOCS5
NKX2-2	IAPP
NEUROG3	NEUROD1
MITF	TYRP1
TP53	PMAIP1
RXRB	CYP7A1
RXRB	DBI
RXRB	FABP4
RXRB	FABP1
RXRB	FABP3
RXRG	SLC27A4
RXRG	CPT1A
RXRG	CPT2
RXRG	CYP4A11
RXRG	CYP7A1
MYD88	IFNA10
NFYC	HLA-DQA2
MAPK1	TNF
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL6
MAPK13	IL12A
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFX5	HLA-DPA1
RFX5	HLA-DPB1
RFXAP	HLA-DRB4
NFIC	ARG1
ATF2	CGA
PAX5	FCER2
CEBPA	FN1
ETS1	FOSL1
ATF2	HLA-E
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
STAT1	IFNG
USF1	IFNG
CEBPA	IVL
EGR1	JUN
JUN	JUN
TFAP2A	KRT5
CREB1	LDHA
JUN	MAT2A
SP1	MAT2B
TP53	MMP2
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
SP1	PDHA1
TFAP2A	PDHA1
ATF3	PENK
FOS	PENK
USF2	PTGS2
SP1	RELA
CREB1	REN
RARB	S100A9
SPI1	SCARB1
POU2F1	SFTPA1
USF2	SP1
ETS1	SPP1
SP1	TAF7
JUN	TFF1
CREM	TH
FOS	TIMP1
JUNB	TIMP1
CEBPA	TK1
EGR1	TNF
SMAD3	TNNC1
HIF1A	TP53
NFIC	TP53
SP1	TPI1
SP1	TTR
