AR	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	PPARA
PPARA	RXRA
RXRA	RARB
PRKACA	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	CREBBP
CREBBP	SP1
MAPK1	JUN
PRKACA	CREB1
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
PRKACA	ATF2
PRKACA	ATF6B
PRKACA	ATF4
CREBBP	RXRB
CREBBP	RXRG
TFDP2	CCNE2
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
LEF1	MITF
NFKB2	TRAF3
RELA	TRAF6
PPARA	CYP8B1
PPARA	CYP4A22
PPARG	FABP4
PPARG	SLC27A1
NFKB1	IL23A
NFYB	HLA-DMA
MAPK9	IL12B
MAPK9	TNF
MAPK10	IL12B
RFX5	HLA-DQA1
RFX5	HLA-DQA2
MYB	TSC22D3
MYBL1	TSC22D3
EGR1	COL2A1
SP3	COL2A1
USF1	FBP1
SPI1	NFKB1
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
