TUBB1	ARHGEF2
ARHGEF2	RHOA
RHOA	MAPK8
MAPK8	JUN
MAPK8	SMAD3
SMAD3	SP1
RHOA	RAF1
RAF1	AKT3
AKT3	CREB1
SMAD3	CREBBP
SMAD3	EP300
RAF1	NFKB1
NFKB1	HIF1A
HIF1A	ARNT
RAF1	MAPK1
MAPK1	ETS1
MAPK8	JUND
MAPK8	FOS
MAPK8	TP53
MAPK1	STAT3
MAPK1	STAT1
RAF1	RELA
SMAD3	E2F4
MAPK8	SMAD4
MAPK8	ATF2
ATF2	ATF1
MAPK8	JUNB
MAPK1	MYC
AKT3	ATF4
AKT3	CREB3
AKT3	ATF6B
AKT3	CREB3L2
AKT3	CREB3L1
AKT3	CREB5
AKT3	NR4A1
NR4A1	RXRA
RAF1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
MAPK8	ELK1
ELK1	EGR1
SMAD3	TFDP1
TFDP1	E2F1
TFDP1	E2F2
TFDP1	E2F3
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK1	ELK4
MAPK8	NFATC3
NFATC3	SRF
RXRA	RARB
SMAD3	YAP1
AKT3	MTOR
MTOR	PPARG
MAPK1	ESR1
PRKACA	XBP1
XBP1	CEBPA
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
LEF1	PPARD
RHOA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
SMAD3	WWTR1
NFKB1	NFKB2
NFKB1	TRAF6
TRAF6	MYD88
RAF1	MAPK14
RAF1	MAPK11
RAF1	MAPK13
MYC	ZBTB17
MYC	PIAS2
MAPK8	FOSB
SMAD3	RBL1
RBL1	TFDP2
MAPK1	SMAD2
NFKB1	CEBPB
CEBPB	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
MAPK14	MAX
MAPK1	ETS2
NFKB1	MYB
PRKACA	CREM
MAPK1	ESR2
RAF1	MAPK3
BCL2	TP53
TP53	PTEN
PTEN	AKT3
AKT3	JUN
TP53	TP73
TP73	YAP1
YAP1	SMAD2
SMAD2	SP1
TP53	THBS1
THBS1	ITGB1
ITGB1	PRKACA
PRKACA	CREBBP
PRKACA	EP300
PTEN	PIK3R5
PIK3R5	HIF1A
THBS1	PTK2
PTK2	MAPK1
BCL2	APAF1
APAF1	CASP3
CASP3	MAP3K1
MAP3K1	MAPK8
ITGB1	SRC
SRC	STAT3
MAP3K1	NFKB1
MAP3K1	RELA
TP53	CDKN1A
CDKN1A	CCND1
CCND1	RBL1
RBL1	E2F4
YAP1	SMAD3
YAP1	SMAD4
PRKACA	ATF1
AKT3	ATF2
YAP1	MYC
CDKN1A	CCNA1
CCNA1	E2F1
CCNA1	E2F2
CCNA1	E2F3
YAP1	LEF1
YAP1	TCF7
YAP1	TCF7L2
YAP1	TCF7L1
MAP3K1	MAPK14
MAPK14	ELK4
CASP3	DCC
DCC	PPP3CA
PPP3CA	NFATC2
NFATC2	SRF
TP53	TSC2
TSC2	RHEB
RHEB	MTOR
TP73	WWTR1
CASP3	PAK1
PAK1	MAP3K14
MAP3K14	NFKB2
MAP3K1	MAPK11
MAP3K1	MAPK13
TP53	MDM2
MDM2	RB1
RB1	TFDP2
RB1	TFDP1
PTK2	MAPK3
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	FXYD4
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
ATF2	FOS
GLI2	WNT5A
GLI2	WNT7A
GLI2	WNT8A
GLI2	WNT11
GLI2	WNT9A
GLI2	WNT10A
GLI2	WNT5B
GLI2	WNT3A
GLI3	BMP4
SMAD4	CDKN2B
TFDP2	CCNE2
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
NPAS2	RORA
NPAS2	RORC
NPAS2	BHLHE40
NPAS2	NR1D1
CLOCK	CRY2
CLOCK	RORA
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
VDR	TRPV5
MAPK14	CXCL1
JUN	CXCL1
NFKB1	CCL5
MAPK11	CXCL1
MAPK12	IL8
RBPJL	CR2
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ELK1	XIAP
ELK1	CCND1
JUN	CCND2
CREB3	PCNA
ATF6B	IL8
EGR3	FASLG
NFKB1	TNF
MAPK8	JUN
CREB3L2	IL8
CREB3L2	PCNA
CREB3L3	IL8
CREB3L1	PCNA
CREBBP	ENO1
CREBBP	FIGF
CREBBP	SERPINE1
CREBBP	ANGPT4
CREBBP	BCL2
CREBBP	SLC2A1
CREBBP	TFRC
CREBBP	VEGFB
EP300	ENO1
EP300	FIGF
EP300	SERPINE1
EP300	ANGPT4
EP300	BCL2
EP300	SLC2A1
EP300	TFRC
EP300	VEGFB
HIF1A	ENO1
HIF1A	FIGF
HIF1A	SERPINE1
HIF1A	ANGPT4
HIF1A	TIMP1
ARNT	EDN1
ARNT	EGF
ARNT	HK2
ARNT	LDHA
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PGK1
YAP1	ID2
YAP1	ID3
YAP1	AXIN1
YAP1	AXIN2
WWTR1	ITGB2
WWTR1	AREG
LEF1	CCND2
LEF1	CCND3
TCF7	SNAI2
TCF7	CCND3
TCF7L2	BIRC2
TCF7L2	SOX2
TEAD1	GLI2
TEAD4	AXIN1
FOXO1	G6PC2
SOS1	SPRY3
SOS1	SPRY1
SOS1	SPRED3
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
STAT4	CCND3
STAT5A	SOCS4
STAT5A	SOCS2
STAT5A	SOCS5
STAT5B	CCND2
STAT5B	SOCS5
STAT6	CCND1
HNF1A	HNF4A
HNF1A	HNF4G
CREB1	MITF
MITF	DCT
LEF1	MITF
RELA	TRAF2
PIK3CG	AKT3
PIK3R1	AKT1
PIK3R2	AKT3
PIK3R3	AKT3
RBPJ	HES1
TP53	GTSE1
TP53	BAI1
TP53	PERP
EPAS1	PDGFB
EPAS1	TGFB1
EPAS1	VEGFB
FOS	CDK4
JUN	FIGF
MYC	CDK4
NFKB1	TRAF5
NFKB2	TRAF2
RELA	NOS2
PIAS2	CDKN2B
FOXO3	RBL2
ATF4	BCL2
PPARA	CYP7A1
PPARA	ACSL3
PPARA	HMGCS2
PPARD	CPT1B
PPARD	ACADL
PPARG	CYP27A1
PPARG	ACSL6
PPARG	MMP1
RXRA	CYP7A1
RXRA	CYP27A1
RXRA	ACSL6
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRA	PLTP
RXRB	ACSBG1
RXRB	APOC3
RXRB	OLR1
RXRB	PCK1
RXRB	SCD5
RXRG	EHHADH
RXRG	FABP4
RXRG	ACSL4
RXRG	ACSL6
RXRG	APOC3
RXRG	AQP7
RXRG	PDPK1
RXRG	PLIN1
RXRG	FADS2
MAX	CDK4
FOS	IL1B
IRF5	TNF
IRF7	IFNA8
IRF7	IFNA10
IRF7	IFNA21
JUN	IL6
JUN	CCL4L1
