ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
NFKB1	CEBPB
PLCD3	PRKCA
PRKCA	MAPK1
MAPK1	STAT3
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
AKT3	JUN
HIF1A	EP300
AKT3	CHUK
CHUK	NFKB2
PRKCA	CREB1
MAPK1	ESR1
CHUK	RELB
KCNMA1	CACNA1C
CACNA1C	CALML6
CALML6	HRAS
HRAS	MAPK14
MAPK14	CEBPB
CACNA1C	INS
INS	KIT
KIT	STAT3
HRAS	MAP3K1
MAP3K1	IKBKG
CALML6	CAMK2A
CAMK2A	CREBBP
HRAS	JUN
CAMK2A	EP300
INS	MAPK1
MAPK1	NFKB1
NFKB1	NFKB2
CAMK2A	CREB1
MAP3K1	CHUK
CTNNB1	CCND3
RELA	IL6
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT5A	SOCS5
STAT5B	SOCS4
STAT6	CCND2
STAT6	CCND3
PIK3CD	AKT3
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
SP1	CAV1
ELK1	CCT8
PAX5	FCER2
CEBPA	FN1
MYC	PTMA
NFIC	SFTPC
