PDE3A	ADCY1
ADCY1	PRKACA
PRKACA	NFKB1
NFKB1	HIF1A
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	SMAD3
MAPK8	SMAD4
MAPK8	FOS
PRKACA	RELA
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
MAPK8	JUN
PRKACA	MAPK1
MAPK1	ETS1
PRKACA	CREBBP
CREBBP	SP1
CREB3L3	ARC
RELA	BIRC8
RELA	BIRC3
GLI1	WNT7A
GLI1	WNT8A
GLI2	BMP2
EP300	CDKN1B
STAT4	CCND1
STAT5B	MYC
PIK3CB	AKT2
MAPK9	IL1A
RFX5	HLA-DOB
USF2	ABCA1
ETS1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
ATF4	CGA
CEBPA	FN1
USF1	HMOX1
USF2	HMOX1
JUN	IVL
SP1	JUN
PGR	KLK3
PPARA	LIPA
PPARG	LIPA
RARA	MIF
SMAD3	TIMP1
