DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
ADCY1	PRKACA
PRKACA	NFKB1
PRKACA	RELA
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKACA	CREB1
PRKACA	MAPK1
MAPK1	ETS1
PRKACA	CREBBP
PRKACA	EP300
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
MAPK8	SMAD4
CREBBP	SP1
MAPK1	SMAD1
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
MAPK8	ELK1
ELK1	EGR1
PRKACA	ATF1
JAK2	STAT1
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
MAPK1	SMAD5
MAPK1	SMAD9
MAPK8	SMAD3
PRKACA	ATF4
PRKACA	ATF2
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
MAPK1	ETS2
MAPK8	TP53
JAK2	STAT3
STAT3	MYC
PRKCA	MTOR
MTOR	PPARG
STAT1	MYD88
PRKACA	ATF6B
PRKACA	CREB5
ELK1	SPI1
PRKACA	PPARA
PPP1CA	WWTR1
MAPK1	SMAD2
STAT1	TRAF6
TRAF6	IRF7
PTK2B	RAC1
RAC1	MAPK1
MAPK1	JUN
RAC1	NFKB1
RAC1	RELA
PTK2B	SRC
SRC	CTNNB1
MAPK1	CREB1
CTNNB1	CREBBP
CTNNB1	EP300
NFKB1	PPP2CA
PPP2CA	YAP1
MAPK1	SMAD4
SMAD2	SP1
NFKB1	HIF1A
HIF1A	ARNT
MAPK1	ELK1
MAPK1	CREB3
CREB3	ATF1
NFKB1	CEBPB
CEBPB	CIITA
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	SMAD3
MAPK1	ATF4
MAPK1	ATF2
MAPK1	FOS
NFKB1	TP53
MAPK1	MYC
RAC1	PIK3R5
PIK3R5	MTOR
NFKB1	TRAF6
TRAF6	MYD88
MAPK1	ATF6B
MAPK1	CREB5
ETS1	SPI1
MAPK1	STAT1
SRC	STAT3
STAT3	PPARGC1A
PPARGC1A	PPARA
PPP2CA	WWTR1
IFNG	IDO1
CREB3	CRH
CREB1	CRH
ATF2	CRH
ATF6B	CRH
CREB3L4	NPY
ATF4	NPY
CREB3L2	CRH
GLI3	HHIP
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
VDR	TRPV5
JUN	CXCL1
MAPK11	CXCL1
RBPJL	CR2
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
NFAT5	TNF
NFKB1	TNF
CREB5	IL8
CREBBP	SERPINE1
CREBBP	VEGFC
EP300	SERPINE1
EP300	VEGFC
HIF1A	SERPINE1
HIF1A	VEGFA
HIF1A	VEGFC
ARNT	CDKN1B
ARNT	ENO2
ARNT	HMOX1
ARNT	LTBR
ARNT	NOS3
ARNT	PFKFB3
ARNT	PFKL
ARNT	SLC2A1
ARNT	VEGFB
YAP1	CTGF
SMAD3	CTGF
SOS1	SPRED2
SOS1	CCND1
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS4
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS1
STAT4	SOCS1
STAT5A	SOCS4
STAT5B	CCND1
STAT5B	SOCS5
PAX6	PDX1
CREB3L2	MITF
TCF7L1	MITF
RELA	TRAF2
PIK3CG	AKT3
PIK3R3	AKT3
RXRA	ME1
RXRA	OLR1
RXRA	PCK1
RXRA	ANGPTL4
RXRA	PLIN1
RXRA	SCD
RXRB	CYP8B1
RXRB	EHHADH
RXRB	ACSL4
RXRB	ACSL6
RXRB	HMGCS2
