TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	EP300
CREBBP	ARNT
PRKACA	ATF1
PRKACA	CREB1
PRKACA	MAPK1
MAPK1	STAT3
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
NOS1	HRAS
HRAS	JUN
HRAS	PIK3R5
PIK3R5	HIF1A
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
CREB3	ATF1
NOS3	CREB1
STAT3	PIM2
ATF6B	IL8
CREBBP	ENO1
EP300	ENO1
HIF1A	ENO1
NFYB	HLA-DRB1
USF2	B2M
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
CEBPA	FN1
E2F4	HSP90B1
RARA	S100A8
POU2F1	SPP1
STAT1	TIMP1
STAT1	TP53
