ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PIK3R5	AKT3
AKT3	NFKB1
PIK3R5	EGFR
EGFR	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
AKT3	CHUK
CHUK	IRF7
PLCD3	PRKCA
PRKCA	MAPK1
MAPK1	STAT1
STAT1	MYD88
AKT3	RELA
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
CREBBP	SP1
PRKCA	CREB1
PIK3R5	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
MAPK1	ETS1
ETS1	SPI1
PIK3R5	MTOR
MTOR	PPARG
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	ELK1
ELK1	EGR1
PRKCA	ATF2
PRKACA	PPARA
AKT3	JUN
NFKB1	CEBPB
MAPK1	ESR1
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
NEUROG3	NEUROD1
NEUROG3	NKX2-2
PRKCA	FOS
EGFR	SOS1
EGFR	SOS2
PRKCA	CREB3
CREB3	ATF1
NR3C2	ATP1A4
NR3C2	ATP1B3
NFKB1	BIRC3
NFKB1	XIAP
NFKB1	BCL2
GLI1	WNT1
GLI1	WNT2
GLI1	WNT3
GLI2	GLI1
GLI2	WNT16
GLI2	WNT4
GLI2	WNT3
ARNTL	PER3
VDR	CALB1
ELK1	CCND3
ATF6B	IL8
IRF3	IFNB1
NFKB1	MMP9
MAPK8	JUN
TP53	CDKN1B
CREBBP	ENO1
CREBBP	ANGPT1
CREBBP	NPPA
CREBBP	ANGPT4
CREBBP	TF
EP300	ENO1
EP300	ANGPT1
EP300	NPPA
EP300	ANGPT4
EP300	TF
HIF1A	ENO1
HIF1A	ANGPT1
HIF1A	NPPA
HIF1A	ANGPT4
TCF7	BIRC2
TCF7L2	SNAI2
SOS2	CCND3
STAT1	SOCS4
STAT1	MYC
STAT1	PIM1
STAT1	SOCS3
STAT1	SOCS5
ETS1	FIGF
HIF1A	PDGFB
JUN	FIGF
JUN	VEGFC
MYC	MMP2
NFKB2	TRAF1
NFKB2	BIRC7
IRF1	IL12B
ATF2	MCL1
ATF4	BCL2
PPARA	CYP4A11
PPARA	FABP1
PPARA	APOC3
PPARA	ANGPTL4
PPARD	ACADL
PPARG	CPT1B
PPARG	ACSL4
PPARG	ANGPTL4
PPARG	SCD5
RXRA	CYP27A1
RXRB	CPT2
RXRB	CYP4A11
RXRB	CYP7A1
RXRB	CYP8B1
RXRB	FABP4
RXRB	FABP1
RXRB	FABP3
RXRB	ACSL3
RXRB	SLC27A1
RXRG	NR1H3
RXRG	SORBS1
RXRG	SLC27A4
RXRG	APOA5
RXRG	CPT2
RXRG	CYP4A11
RXRG	CYP7A1
RXRG	CYP27A1
RXRG	DBI
RXRG	EHHADH
IRF7	IFNA8
NFYB	HLA-DOA
NFYB	HLA-DPB1
NFYB	HLA-DQA1
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
NFYC	HLA-DQB1
MAPK1	NOS2
MAPK1	IL23A
RFX5	HLA-DOA
RFX5	HLA-DOB
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRA
CREB5	AQP2
USF1	APEX1
EGR1	APOA1
SP3	APOA1
USF1	APOA2
CEBPA	APOB
ATF2	APOC3
NFIC	ARG1
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
ELK1	CCT8
RELA	ELF3
NFKB1	F3
USF2	FBP1
EGR1	FCER2
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
POU5F1	GADD45A
POU5F1	HMGB2
NFKB1	HMOX1
ETS2	IL5
POU2F1	IL5
JUN	JUN
NFIC	JUN
RARB	JUN
CREB1	LDHA
SP1	LDHA
CREM	LDHC
SP1	MAT2B
SP3	MAT2B
NFIC	MBP
CEBPA	MMP2
ATF1	NTS
NFIC	POLD2
E2F4	RBL1
RARA	S100A8
RELA	SAA2
ESR2	SERPINE1
PPARD	SERPINE1
ESR1	SP1
POU2F1	SPP1
ESR1	TFF1
ETS1	TFRC
ATF1	TG
WT1	THBS1
STAT1	TIMP1
CEBPD	TNF
REL	TNFSF10
ETS1	TNNC1
USF2	TOP3A
STAT1	TP53
JUN	TSHB
FLI1	UPP1
PAX1	VHL
