AR	PRKACA
PRKACA	NFKB1
NFKB1	TP53
NFKB1	HIF1A
PRKACA	MAPK1
MAPK1	JUN
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
PRKACA	CREB1
PRKACA	RELA
PRKACA	PSEN1
PSEN1	ATF6
PRKACA	XBP1
XBP1	CEBPA
NFKB1	NFKB2
NFKB1	CEBPB
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
NFKB1	IFNG
STAT3	CPT1C
LEF1	CCND1
NFKB1	CCL5
MAPK12	IL8
RBPJ	FCER2
CTNNB1	CCND3
ELK1	BIRC2
RELA	IL6
RELA	MMP9
CREBBP	PFKL
CREBBP	PGF
EP300	PFKL
EP300	PGF
STAT5A	CCND3
RXRB	ACSBG1
RXRB	ANGPTL4
NFYB	HLA-DPA1
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
JUN	ABCB1
NFKB1	ABCB1
SP1	ABCB1
TP53	ABCB1
USF2	APOC3
ESR1	APOE
PPARG	APOE
TP53	AQP1
USF1	CTSB
TFAP2A	HMOX1
MYC	ID2
ETS1	PLAU
ATF1	PPP2R4
ATF2	PTGS2
PPARG	PTGS2
MYC	PTMA
ESR1	PTMA
NFIC	SFTPC
ETS1	SLC26A3
HOXA4	TH
HOXA5	TH
SMAD4	TNNC1
SP3	TNNC1
