AR	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	CREBBP
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	MAPK1
MAPK1	FOXO3
PRKACA	MAPK8
MAPK8	JUND
PRKACA	CREB1
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
CREBBP	SP1
MAPK1	ESR1
MAPK1	JUN
PRKACA	XBP1
XBP1	CEBPA
MAPK1	FOS
CREB3	NPY
GLI3	WNT16
GLI3	PTCH1
RBPJ	FCER2
CTNNB1	CCND2
CTNNB1	CCND3
MAPK10	SMAD4
RELA	IL6
CREBBP	PFKFB4
CREBBP	PFKL
EP300	PFKFB4
EP300	PFKL
MAPK3	CCND1
NFKB1	FIGF
MYC	CKS1B
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1B
MAPK13	IL12A
MAPK13	IL12B
MAPK13	IL18
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQB1
RFXANK	HLA-DPA1
RFXANK	HLA-DQA1
TCF7L1	PPARD
TCF7L1	FOSL1
CREB1	CD55
ELK1	CCT8
ATF4	CGA
CREB1	CGA
NFIC	CYP17A1
STAT5B	IFNG
JUN	MMP7
ETV4	MMP9
PPARG	PTGS2
USF2	PTGS2
MYC	PTMA
POU2F1	SFTPA1
NFIC	SFTPC
CREM	TH
HOXA4	TH
SMAD3	TNNC1
SMAD4	TNNC1
