HTR2A	GNAQ
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	SMAD3
MAPK1	SMAD4
LOC400927-CSNK1E	WWTR1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	MYC
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
HRAS	JUN
MAPK1	TP53
SMAD2	E2F4
MAPK1	STAT3
MAPK1	ESR1
MAPK1	STAT1
GNAQ	PLCB1
PLCB1	EGFR
EGFR	STAT5A
EGFR	STAT5B
MAPK1	ELK1
STAT3	STAT4
MAPK1	ETS1
GNAQ	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
STAT3	STAT2
STAT3	STAT6
HRAS	PIK3R5
PIK3R5	HIF1A
NFKB1	NFKB2
HRAS	FOS
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	ATF3
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
MAPK1	ATF2
HRAS	MAPK14
MAPK14	MAX
DRD2	PPP2CA
PPP2CA	YAP1
DRD2	GNAI1
GNAI1	MAPK1
PPP2CA	WWTR1
MAPK1	NFKB1
MAPK1	RELA
YAP1	LEF1
YAP1	TCF7
YAP1	TCF7L2
YAP1	TCF7L1
GNAI1	HRAS
PPP2CA	STAT1
STAT1	STAT5A
STAT1	STAT5B
STAT1	STAT4
GNAI1	PIK3R5
PIK3R5	EGFR
EGFR	SOS1
EGFR	SOS2
PPP2CA	STAT2
STAT1	STAT6
GNAI1	RAPGEF3
RAPGEF3	PRKACA
HIF1A	CREBBP
HIF1A	EP300
GNAI1	MAPK14
ATF6B	ARC
ATF4	ARC
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
FOSB	RELA
JUN	RELA
LEF1	MYC
TCF7	BIRC5
TCF7L1	BIRC5
MAPK14	CXCL1
CTNNB1	CCND2
ELK1	CCND1
MAPK10	SMAD4
CREB3L2	PCNA
CREBBP	PFKFB4
CREBBP	SLC2A1
EP300	PFKFB4
EP300	SLC2A1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	PGK1
HIF1A	TFRC
ARNT	EDN1
ARNT	FIGF
ARNT	FLT1
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
ARNT	BCL2
ARNT	TIMP1
ARNT	VEGFA
RELA	HIF1A
STAT3	HIF1A
YAP1	GLI2
YAP1	BIRC2
YAP1	ID1
YAP1	ID3
YAP1	CCND1
YAP1	SNAI2
YAP1	AREGB
YAP1	AXIN2
WWTR1	FGF1
WWTR1	BBC3
WWTR1	BIRC5
WWTR1	AREG
SMAD1	ID4
SMAD2	SERPINE1
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
BBC3	TP53
RXRA	ACADL
RXRA	APOA1
RXRA	ACADM
RXRG	FABP3
IRF7	IFNA14
NFYB	HLA-DRB4
NFYB	HLA-DRB5
NFYB	CD74
NFYC	LOC100507709
MAPK1	IL12A
MAPK3	IL18
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
MAPK10	NOS2
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL18
MAPK13	NOS2
RFXAP	HLA-DOA
RFXAP	HLA-DRB3
SP1	REL
SP3	CD14
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
EGR1	COL2A1
SP3	COL2A1
STAT1	EGFR
SMAD7	HMOX1
STAT3	HMOX1
TP53	IL8
CEBPA	ITGA2
TP53	MMP2
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
TFAP2A	PENK
CREM	PLAT
EGR1	PLAU
ETS2	PLAU
SP2	PLP1
TFAP2A	POLD2
USF2	PTGS2
USF2	PTPN6
POU2F1	SFTPA1
SP1	SOD1
CREM	TH
USF1	THBS1
SMAD3	TNNC1
E2F4	TOP1
ETS1	VWF
ETS2	VWF
NFIC	VWF
NFKB1	VWF
