TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	CREB1
MAPK8	SMAD3
SMAD3	E2F4
PRKACA	CREBBP
CREBBP	SP1
MAPK8	JUN
PRKACA	MAPK1
MAPK1	ETS1
MAPK8	JUND
MAPK1	STAT1
PRKACA	ATF4
PRKACA	ATF2
MAPK1	STAT3
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
MAPK1	MYC
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
MAPK8	SMAD4
MAPK8	FOS
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK8	JUNB
MAPK1	ETS2
MAPK1	ESR1
NFKB1	MYB
PRKACA	ATF1
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PRKACA	RELA
MAPK8	ELK1
ELK1	EGR1
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
MYC	ZBTB17
RAPGEF3	MAPK14
MAPK14	MAX
MAX	PIAS2
PRKACA	PPARA
MAPK14	AKT3
AKT3	IRF3
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
CREBBP	STAT5A
CREBBP	STAT5B
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
LEF1	PPARD
ELK1	SPI1
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
PRKACA	CREM
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
CREBBP	RBPJ
NFKB1	NFKB2
CREBBP	EPAS1
CEBPA	E2F2
CEBPA	E2F3
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
MAPK14	ELK4
PRKACA	NFATC1
NFATC1	SRF
RARA	JUP
RUNX1	JUP
RUNX1T1	JUP
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	FXYD4
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
ATF2	FOS
ATF6B	ARC
ATF4	ARC
GLI2	WNT6
GLI2	WNT7B
GLI2	WNT8B
GLI2	WNT9A
GLI2	WNT10A
GLI3	PTCH1
GLI3	HHIP
GLI3	BMP4
TFDP2	CCNE2
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
VDR	TRPV5
