DRD2	GNAI1
GNAI1	MAPK1
MAPK1	NFKB1
MAPK1	ELK1
ELK1	EGR1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	RELA
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
MAPK1	TP53
MAPK1	CREB1
ADRA1A	PRKAG2
PRKAG2	MTOR
MTOR	AKT3
AKT3	NFKB1
ADRA1A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	SP1
AKT3	RELA
MTOR	PRKCA
PRKCA	PRKACA
CREBBP	TP53
CRTC2	CREB1
CALM1	HRAS
HRAS	RAF1
RAF1	NFKB1
CALM1	CAMK2A
CAMK2A	CREBBP
RAF1	RELA
CALM1	ADCY1
ADCY1	PRKACA
CAMK2A	CREB1
CALM2	HRAS
CALM2	CAMK2A
CALM2	ADCY1
CALM3	HRAS
CALM3	CAMK2A
CALM3	ADCY1
TNNC1	PLCD3
PLCD3	PIK3R5
PIK3R5	AKT3
PLCD3	PRKCA
PRKCA	MAPK1
PIK3R5	HIF1A
HIF1A	CREBBP
PRKCA	CREB1
GLI3	HHIP
RXRG	EHHADH
IRF7	IFNA8
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	HLA-DRB5
NFYB	CD74
NFYC	LOC100507709
RFX5	HLA-DOA
RFX5	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DQA1
POU2F2	REL
CREB1	FN1
NFKB1	FN1
RELA	FN1
TFAP2A	HMOX1
FLI1	MMP9
