AR	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	CREBBP
CREBBP	SP1
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
CYP21A2	HSD11B1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	TP53
HSD11B1	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	ESR1
ESR1	SP1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
JAK2	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
CYP19A1	CYP3A4
CYP3A4	PLA2G4B
MAPK1	SMAD2
SMAD2	SP1
PRKCA	MTOR
MTOR	HIF1A
MAPK10	JUN
CREBBP	PFKFB3
EP300	PFKFB3
HIF1A	PFKFB3
MAPK1	CDK4
NFYC	HLA-DQA1
SP1	COL1A1
JUND	F3
JUN	SFTPA1
CREB1	TH
SMAD2	TNNC1
ERG	VWF
