CSNK2A1	CTNNB1
CTNNB1	LEF1
LEF1	JUN
CTNNB1	VEGFA
VEGFA	EGFR
EGFR	MAPK1
MAPK1	ETS1
CTNNB1	CREBBP
CREBBP	CREB3
CREB3	FOS
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
CREBBP	CREB1
CREBBP	SP1
CREBBP	STAT3
CTNNB1	EP300
CREBBP	HIF1A
CREBBP	ARNT
CREBBP	STAT1
CREBBP	SMAD3
LEF1	YAP1
YAP1	SMAD4
CTNNB1	MAGI2
MAGI2	MAPK8
MAPK8	JUND
LEF1	MYC
EGFR	MAPK3
MAPK8	JUNB
PTGS1	ADCY5
ADCY5	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
ADCY5	PRKACA
PRKACA	MAPK1
PTGS1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
PRKACA	CREBBP
PRKACA	CREB1
MAPK1	STAT3
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
MAPK1	STAT1
MAPK8	SMAD3
MAPK8	SMAD4
MAPK1	MYC
PRKACA	MAPK3
PTGS2	ADCY5
PTGS2	PLA2G4B
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
STAT3	SOCS2
STAT3	CCND3
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
MAPK1	IL18
REL	CSF2
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
