DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
PRKACA	RELA
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
JAK2	STAT1
RAPGEF3	MAPK14
MAPK14	ELK4
PRKACA	NFATC1
NFATC1	SRF
JAK2	PIK3R5
PIK3R5	HIF1A
PRKACA	EP300
CREBBP	ARNT
STAT3	MYC
CREBBP	EPAS1
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
PRKACA	CREB1
STAT3	PIM1
NR3C2	ATP1A3
ELK1	CCND1
MAPK8	SMAD4
CREB3L2	PCNA
CREBBP	PDK1
CREBBP	SLC2A1
EP300	PDK1
EP300	SLC2A1
HIF1A	PDK1
TEAD1	BIRC2
SOS1	CCND3
SOS2	SPRY3
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELA	NFKB2
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
RXRG	EHHADH
IRF7	IFNA8
TCF7	MMP7
TCF7	PPARD
MYB	TSC22D3
MYBL1	TSC22D3
NFIC	HSPA1A
ETS1	IL5
USF2	PTPN6
PPARG	SERPINE1
SP1	SOD1
CREB1	TG
USF1	THBS1
FLI1	TNNC1
E2F4	TOP1
TFAP2A	VHL
