AR	PRKACA
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
PRKACA	MAPK1
MAPK1	SMAD3
MAPK1	SMAD4
MAPK1	JUN
MAPK1	ETS1
PRKACA	CREB1
MAPK1	STAT3
MAPK1	STAT1
CREBBP	SP1
MAPK1	FOS
PRKACA	MAPK8
MAPK8	JUND
MAPK8	JUNB
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	ATF1
NFKB1	TP53
PRKACA	RELA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	MYC
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
MAPK1	ELK1
ELK1	EGR1
CEBPA	E2F1
RARA	JUP
RUNX1	JUP
RUNX1T1	JUP
CREB3L1	CRH
GLI3	HHIP
ELK1	XIAP
ELK1	CCND1
ELK1	CCND2
CREB3	PCNA
CREB1	IL8
ATF6B	PCNA
NFKB1	TNF
MAPK8	JUN
MAPK8	SMAD4
CREB3L2	IL8
CREB3L2	PCNA
STAT1	MYD88
CREB3L1	PCNA
CREB5	PCNA
CREBBP	ENO2
CREBBP	SERPINE1
CREBBP	ANGPT4
CREBBP	PDK1
CREBBP	BCL2
CREBBP	SLC2A1
CREBBP	TEK
CREBBP	VEGFB
CREBBP	HKDC1
EP300	ENO2
EP300	SERPINE1
EP300	ANGPT4
EP300	PDK1
EP300	BCL2
EP300	SLC2A1
EP300	TEK
EP300	VEGFB
EP300	HKDC1
HIF1A	ENO2
HIF1A	SERPINE1
HIF1A	ANGPT4
HIF1A	PDK1
TEAD1	CCND1
TEAD4	CCND2
CREB3	MITF
CREB1	MITF
EP300	MITF
CREB3L2	MITF
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
FOXO3	RBL2
ATF4	BCL2
PPARD	CPT1B
PPARD	ACADL
RXRA	CYP7A1
RXRA	CYP27A1
RXRA	AQP7
RXRA	SLC27A1
RXRA	LPL
RXRG	EHHADH
IRF7	IFNA8
NFYB	HLA-DPA1
NFYB	HLA-DQA2
NFYC	HLA-DMA
NFYC	HLA-DQA2
MAPK1	IL1A
MAPK1	IL1B
MAPK3	IL18
MAPK9	IL12A
MAPK9	IL12B
MAPK9	TNF
MAPK10	IL6
MAPK13	IL23A
MAPK12	IL1B
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DQA1
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
MYB	TSC22D3
MYBL1	TSC22D3
SP1	ADA
GLI1	BCL2
ATF1	BCL2
BRCA1	BCL2
CEBPA	BCL2
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
USF1	CTSB
SP3	CTSL
TFAP2A	CYP11A1
SP1	EGFR
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
STAT3	FOS
ETS1	FOSL1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
PPARG	GADD45A
RARA	GADD45A
TFAP2A	GH2
USF1	GH2
USF2	GH2
JUN	GJA1
SP1	GJA1
NFIC	GOT1
E2F1	HIST1H2AM
NFIC	HRAS
CREB1	ICAM1
CREM	ICAM1
REL	IL2RA
FLI1	MMP9
USF1	PTPN6
USF2	PTPN6
TP53	PTTG1
SP1	RELA
CREB1	REN
RARB	S100A8
PPARA	SERPINE1
PPARD	SERPINE1
PPARG	SERPINE1
EGR1	SOD1
SP1	SOD1
WT1	SOD1
USF2	SP1
ETS1	SPP1
POU2F2	SPP1
JUN	TFRC
ATF1	TG
CREB1	TG
EGR1	THBS1
USF1	THBS1
USF2	THBS1
FOS	TIMP1
JUNB	TIMP1
STAT3	TIMP1
ERG	TNNC1
ETS1	TNNC1
FLI1	TNNC1
TFAP2A	TNPO1
E2F4	TOP1
CEBPB	TOP1
HIF1A	TP53
NFIC	TP53
TP53	TP53
HIF1A	VHL
PAX1	VHL
TFAP2A	VHL
