KCNQ1	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	MAPK1
MAPK1	JUN
PRKACA	CREBBP
CREBBP	SP1
PRKACA	RELA
PRKACA	CREB1
MAPK1	STAT3
MAPK1	STAT1
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
MAPK1	ETS1
NFKB1	TRAF6
TRAF6	IRF7
TRAF6	MYD88
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKACA	PPARA
PPARA	RXRA
RXRA	RARB
CREBBP	RXRB
CREBBP	RXRG
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
MAPK1	FOS
MAPK1	MYC
NFKB1	PPP2CA
PPP2CA	YAP1
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
CREB5	ARC
NFKB1	BIRC7
GLI1	WNT4
GLI1	WNT6
GLI1	WNT9B
GLI2	HHIP
TFDP2	CCNE2
ELK1	BIRC2
IRF3	IFNB1
MAPK8	SMAD4
RELA	MMP9
CREBBP	ANGPT1
CREBBP	PDK1
CREBBP	PGF
EP300	ANGPT1
EP300	PDK1
EP300	PGF
HIF1A	ANGPT1
HIF1A	PDK1
ARNT	ENO2
YAP1	ITGB2
YAP1	CCND2
WWTR1	AREGB
PAX6	PDX1
CREBBP	MITF
LEF1	MITF
CREB3L3	MITF
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
FOS	MMP1
NFKB1	TRAF4
RELA	MYB
PPARD	LPL
RXRA	EHHADH
RXRB	DBI
RXRB	ACSL3
RXRB	PCK1
RXRG	CPT1A
RXRG	CYP27A1
RXRG	EHHADH
IRF7	IFNA8
CREB1	HLA-DPB1
NFYA	LOC101060835
NFYC	LOC101060835
RFX5	HLA-DQA1
RFX5	HLA-DQA2
RFXAP	LOC100507714
MYB	TSC22D3
MYBL1	TSC22D3
CREB1	ADRB2
ATF3	ASNS
ATF4	ASNS
CREB1	ATP1A1
USF1	FBP1
FLI1	FOS
EGR1	JUN
SMAD4	JUN
TFAP2A	KRT5
SP3	LHB
JUN	MAT2A
JUN	MGP
SPI1	NFKB1
ESR1	PTMA
RELA	SAA2
PPARG	SERPINE1
ETS1	SLC26A3
ESR1	TFF1
CREB1	TG
HOXA5	TH
CEBPD	TNF
FLI1	TNNC1
SP3	TNNC1
JUN	TSHB
TFAP2A	VHL
