HRH2	GNAS
GNAS	SRC
SRC	STAT3
STAT3	ESR1
ESR1	SP1
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
SRC	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
GNAS	GNB5
GNB5	MAPK1
MAPK1	TP53
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
CREB3L3	ARC
NFKB1	BCL2
RELA	BIRC3
GLI1	WNT3
GLI1	WNT8A
GLI2	WNT4
ELK1	XIAP
ATF6B	IL8
CREB3L2	IL8
CREBBP	ENO1
CREBBP	BCL2
EP300	ENO1
EP300	BCL2
HIF1A	ENO1
CREB3L3	MITF
VDR	ATP2B1
USF2	CCNB1
ELK1	ERBB2
JUN	IVL
RARB	JUN
PGR	KLK3
CREM	LDHC
PPARG	LIPA
NFIC	MBP
USF1	PTPN6
RARA	S100A8
EGR1	SOD1
POU2F1	SPP1
EGR1	THBS1
STAT1	TIMP1
TFAP2A	TNPO1
STAT1	TP53
