TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
ADCY1	PRKACA
PRKACA	MAPK1
MAPK1	ETS1
PRKACA	CREB1
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
PRKACA	ATF1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	RELA
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	HRAS
HRAS	JUN
NOS1	MAPK1
GATM	NOS3
NOS3	CREB1
HRAS	PIK3R5
PIK3R5	HIF1A
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
CREB3	ATF1
MAPK1	NFKB1
MAPK1	THRB
THRB	RXRA
THRB	RXRB
THRB	RXRG
DHFR	ATIC
ATIC	HPRT1
HPRT1	PDE3B
PDE3B	PRKACA
MAPK1	RELA
NFKB1	TNF
CREBBP	SERPINE1
EP300	SERPINE1
HIF1A	SERPINE1
HIF1A	PFKFB4
HIF1A	PFKL
EPAS1	PGF
ETS1	MMP1
NFKB2	TRAF3
IRF1	IL12A
CREB3	BCL2
PPARA	CYP8B1
PPARA	ACADM
PPARA	LPL
PPARG	FABP4
PPARG	PCK2
PPARG	PLIN1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
TFAP2A	GH2
USF1	GH2
USF2	GH2
PPARA	SERPINE1
JUN	TFRC
ERG	TNNC1
HIF1A	VHL
ETS1	VWF
ETS2	VWF
