AR	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	CREB1
PRKACA	ATF2
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
PRKACA	ATF4
PRKACA	ATF6B
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
CEBPA	E2F2
CEBPA	E2F3
MAPK1	JUN
NFKB1	CCND1
CCND1	RB1
RB1	TFDP2
MAPK1	STAT3
MAPK1	STAT1
PRKACA	CREBBP
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT4
CREBBP	STAT2
CREBBP	STAT6
MAPK1	ELK1
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
MAPK1	ETS1
PRKACA	ATF1
GLI2	WNT5A
GLI2	WNT6
GLI2	WNT7A
GLI2	WNT7B
GLI2	WNT8A
GLI2	WNT8B
GLI2	WNT3A
GLI3	GLI1
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
SMAD4	ID2
TEAD1	SOX2
TEAD4	MYC
TEAD3	CTGF
TEAD3	AXIN2
TCF7L1	AXIN2
TEAD2	CCND1
SMAD4	SLC2A1
LEF1	MITF
MAPK1	TNF
MAPK3	TNF
MAPK8	IL1A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
NFAT5	PTGS2
USF2	CALCA
E2F4	CAV1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
TFAP2A	GH2
USF1	GH2
USF2	GH2
ERG	MMP2
ETV4	MMP2
FLI1	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
NFKB1	MMP3
RELA	MMP3
EGR1	PLAU
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
