AR	PRKACA
PRKACA	PPARA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	RELA
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
PRKACA	MAPK1
MAPK1	JUN
MAPK1	STAT1
MAPK1	FOS
MAPK1	STAT3
MAPK1	ETS1
ELK1	CCND1
EGR2	FASLG
MAPK8	SMAD4
CREB3L2	PCNA
CREBBP	ALDOA
CREBBP	PDK1
CREBBP	SLC2A1
EP300	ALDOA
EP300	PDK1
EP300	SLC2A1
HIF1A	ALDOA
HIF1A	PDK1
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
RBPJ	HES5
TP53	BAX
HIF1A	TGFB1
CREB1	BCL2
PPARA	ACOX1
PPARG	UCP1
ATF2	CGA
USF2	PTPN6
RARB	S100A9
PPARG	SERPINE1
SP1	SOD1
SP1	TAF7
CREB1	TG
USF1	THBS1
CEBPA	TK1
FLI1	TNNC1
E2F4	TOP1
SP1	TPI1
TFAP2A	VHL
