TUBB	ARHGEF2
ARHGEF2	RHOA
RHOA	MAPK8
MAPK8	TP53
MAPK8	SMAD3
SMAD3	SP1
MAPK8	JUN
RHOA	RAF1
RAF1	NFKB1
MAPK8	ATF2
MAPK8	ELK1
ELK1	EGR1
RAF1	AKT3
AKT3	CREB1
SMAD3	E2F4
AKT3	CREB3
AKT3	CREB3L2
AKT3	CREB3L1
AKT3	ATF4
AKT3	ATF6B
AKT3	CREB5
MAPK8	FOS
RAF1	MAPK1
MAPK1	MYC
RAF1	RELA
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
RXRA	ACSL6
RFX5	LOC100509457
RFX5	LOC101060835
RFX5	HLA-DMA
RFX5	HLA-DMB
POU2F2	REL
SP1	CCND1
ELK1	CCT8
USF2	CEACAM6
ATF1	CGA
ATF4	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
RELA	CSF2
RELA	CSF3
ETS1	CSNK2A1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ERG	HMOX1
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
