HRH2	GNAS
GNAS	SRC
SRC	STAT3
STAT3	ESR1
ESR1	SP1
GNAS	GNB5
GNB5	MAPK1
MAPK1	TP53
TP53	TP73
MAPK1	ETS1
SRC	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
SRC	HRAS
HRAS	JUN
SRC	RAC1
RAC1	NFKB1
STAT3	STAT1
STAT1	MYD88
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
MAPK11	IL8
SMAD2	CTGF
SOS1	SPRY4
RELA	PTGS2
PIK3CD	AKT3
NFKB2	TRAF2
NFKB2	BIRC7
PPARA	CYP7A1
PPARA	FABP1
PPARG	CYP27A1
PPARG	ACSL4
RXRB	ACAA1
RXRG	CYP27A1
MAPK9	IL1A
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRA
RFXAP	HLA-DRB4
ATF1	GH2
CREB1	GH2
NFKB1	PPP2R4
