TNF	SELE
CREB3	NPY
CREB1	NPY
ATF2	NPY
ATF6B	NPY
ATF4	CRH
MAPK1	PDYN
CREB3L2	NPY
GLI2	WNT6
GLI2	WNT7B
GLI2	WNT8B
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
STAT5A	BCL2L1
CREB1	PER1
CREB1	PER3
ARNTL	CRY1
ARNTL	CRY2
ARNTL	RORA
ARNTL	RORB
ARNTL	BHLHE41
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
JUN	CCND2
EGR3	FASLG
NFKB1	TNF
CREB3L3	IL8
CREBBP	FIGF
CREBBP	SERPINE1
CREBBP	TFRC
EP300	FIGF
EP300	SERPINE1
EP300	TFRC
HIF1A	FIGF
HIF1A	SERPINE1
HIF1A	TIMP1
ARNT	CDKN1A
ARNT	EGF
ARNT	ENO1
ARNT	HK2
ARNT	HK3
ARNT	LDHA
ARNT	PFKFB1
ARNT	PGK1
YAP1	ID2
YAP1	ID4
YAP1	AXIN1
YAP1	NKD1
WWTR1	ITGB2
WWTR1	SERPINE1
TEAD1	BIRC5
TEAD4	AXIN2
FOXO1	PCK1
SOS1	SPRY3
STAT3	SOCS2
STAT3	CCND2
STAT3	CCND3
STAT3	SOCS5
PAX6	GCK
HNF1A	HNF4G
LEF1	MITF
RELA	PTGS2
RELA	CCL4L1
RELB	CCL19
PIK3CD	AKT3
PIK3R1	AKT2
PIK3R1	PDPK1
PIK3R2	AKT1
RBPJL	HES5
TP53	IGFBP3
TP53	RPRM
FOS	FIGF
ATF4	MCL1
PPARD	FABP3
RXRA	CYP8B1
RXRA	ACADL
RXRA	APOA2
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
NFKB1	CEBPB
NFKB1	IL23A
NFYA	LOC100507714
NFYA	LOC100509457
NFYA	HLA-DOB
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK3	IL18
MAPK3	NOS2
MAPK3	IL23A
MAPK8	NOS2
MAPK8	IL23A
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
MAPK11	IL18
MAPK11	NOS2
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12A
MAPK10	IL12B
MAPK10	IL18
RFX5	LOC100507709
RFXAP	HLA-DMA
MAPK12	IL1A
MAPK12	IL1B
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
SP1	COL4A2
USF2	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
USF2	B2M
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
SP1	CDKN1A
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
USF1	CTSB
USF2	CTSB
SP1	CTSL
SP3	CTSL
TFAP2A	ERBB2
BRCA1	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
JUN	F3
JUND	F3
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
PPARG	GADD45A
RARA	GADD45A
ERG	HMOX1
REL	IFNG
STAT5B	IFNG
EGR1	IGF2
SP3	IGFBP3
SP1	IL1A
SP1	IL1B
EGR1	IL2
POU2F1	IL2
ETV4	MMP2
SP1	MMP2
TFAP2A	MMP2
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
MYC	NME1
MYC	NME2
JUN	NPPA
JUND	NQO1
HIF1A	NR4A1
MYC	NRAS
CREB1	NRAS
MYB	NRAS
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
MYBL2	RBL1
RARG	S100A9
PPARA	SERPINE1
MYBL2	SP1
TFAP2A	TAF7
JUN	TFRC
CREB1	TIMP1
ATF1	TNF
ERG	TNNC1
MYC	TP53
CREB1	TRH
HIF1A	VHL
