TNF	SELE
CREB3	NPY
CREB1	NPY
ATF2	NPY
ATF6B	NPY
ATF4	CRH
MAPK1	PDYN
CREB3L2	NPY
ATF6B	FOS
ATF4	FOS
GLI3	PTCH1
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ELK1	BIRC2
ELK1	BIRC3
ATF6B	IL8
EGR3	FASLG
RELA	MMP9
RELA	TNF
CREBBP	ENO1
CREBBP	FIGF
CREBBP	PGF
CREBBP	PGK1
EP300	ENO1
EP300	FIGF
EP300	PGF
EP300	PGK1
HIF1A	ENO1
HIF1A	FIGF
HIF1A	TIMP1
ARNT	EDN1
ARNT	EGF
ARNT	FIGF
ARNT	HK2
ARNT	LDHA
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PGK1
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	ITGB2
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
STAT4	CCND3
STAT5B	CCND2
PAX6	IAPP
PAX6	PDX1
HNF1A	HNF4G
HIF1A	TGFB1
CREB1	BCL2
PPARA	ACOX1
PPARG	UCP1
RXRB	ACSL6
RXRB	HMGCS2
RXRB	APOA1
NFYB	LOC101060835
NFYB	HLA-DMA
MAPK1	IL6
MAPK3	IL18
MAPK10	IL12A
RFXANK	HLA-DMA
TCF7L1	MMP7
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
SP1	CDKN1C
CEBPA	ABCB1
CEBPB	ABCB1
SP1	ADA
CREB1	ADRB2
USF1	CCNB1
USF2	CCNB1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM5
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
EGR1	EGFR
TFAP2A	ERBB2
TP53	ERBB2
BRCA1	ESR1
BRCA2	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
ERG	HMOX1
TFAP2A	HMOX1
REL	IFNG
STAT5B	IFNG
EGR1	IGF2
SP3	IGFBP3
SP1	IL1A
SP1	IL1B
EGR1	IL2
POU2F1	IL2
ATF2	INS
SP1	ITGA2
ETV4	MMP9
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
JUN	PLAT
EGR1	PLAU
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
ESR1	PTMA
EGR1	PTP4A1
RARA	S100A8
RARG	S100A9
ETS1	SLC26A3
CREB1	SLC9A1
POU2F1	SPP1
TFAP2A	TAF7
HOXA5	TH
TFAP2A	TH
STAT1	TIMP1
ATF1	TNF
SP3	TNNC1
SP3	TNPO1
STAT1	TP53
CREB1	TRH
