CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PRKACA
PRKACA	PPARA
PRKCA	MTOR
MTOR	PPARG
PRKCA	MAPK1
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
MAPK1	SMAD2
SMAD2	SP1
MAPK1	TP53
MAPK1	ELK1
ELK1	EGR1
MAPK1	ESR1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
MTOR	HIF1A
HIF1A	ARNT
PRKCA	EGLN2
EGLN2	EPAS1
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	ESR2
ATF6B	FOS
ATF4	FOS
EGR3	FASLG
CREBBP	FIGF
EP300	FIGF
HIF1A	FIGF
HNF1A	HNF4G
EPAS1	PDGFB
ETS1	VEGFA
AR	KLK3
MYC	MMP2
NFKB1	NOS2
NFKB2	TRAF2
ATF2	MCL1
FOXO3	G6PC
PPARA	CYP7A1
PPARA	ANGPTL4
PPARA	ACOX2
PPARG	CYP27A1
PPARG	SCD5
RXRA	CPT1C
NFYA	LOC100509457
TFAP2A	ERBB2
TP53	ERBB2
BRCA1	ESR1
BRCA2	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
ATF2	INS
SP1	ITGA2
RARG	S100A9
TFAP2A	TAF7
ATF1	TNF
CREB1	TRH
