PPARG	RXRA
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
RXRA	THRB
THRB	HIF1A
HIF1A	ARNT
CTNNB1	LEF1
LEF1	JUN
THRB	GATA4
GATA4	SRF
SRF	ETS1
CREBBP	CREB1
CREBBP	TP53
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	HIF1A
CREBBP	ARNT
GATM	NOS1
NOS1	HRAS
HRAS	JUN
NOS1	MAPK1
MAPK1	ETS1
NOS3	CREB1
MAPK1	TP53
MAPK1	SMAD4
SMAD4	LEF1
NFATC4	TNF
NFKB1	TNF
CREBBP	NOS2
CREBBP	SERPINE1
EP300	NOS2
EP300	SERPINE1
HIF1A	NOS2
HIF1A	SERPINE1
ARNT	SLC2A1
CREB3L2	MITF
VDR	ATP2B1
ESR1	FOS
ESR2	FOS
ETS2	FOS
EPAS1	SERPINE1
PPARA	SERPINE1
ATF1	TFRC
JUN	TFRC
SP3	TNF
ERG	TNNC1
ESR1	UBE2L3
HIF1A	VHL
