DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	NFKB1
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
ADCY1	RAPGEF3
RAPGEF3	MAPK14
MAPK14	CEBPB
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
JAK2	PIK3R5
PIK3R5	HIF1A
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
RAPGEF3	MAPK8
MAPK8	TP53
PTK2B	RAC1
RAC1	NFKB1
NFKB1	CEBPB
PTK2B	SRC
SRC	STAT3
NFKB1	HIF1A
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
HIF1A	ARNT
NFKB1	TP53
MAPK10	JUN
CREBBP	PFKFB3
EP300	PFKFB3
HIF1A	PFKFB3
MAPK1	CCND1
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
PPARG	EGFR
JUN	SFTPA1
CREB1	TH
SMAD2	TNNC1
ERG	VWF
